id,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
25,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,2,2,4,1,Returning_Visitor,True,False
26,0.0,0.0,0.0,0.0,5.0,156.0,0.0,0.04,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
27,4.0,64.6,0.0,0.0,32.0,1135.444444,0.002857143,0.00952381,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
28,0.0,0.0,0.0,0.0,4.0,76.0,0.05,0.1,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
29,0.0,0.0,0.0,0.0,4.0,63.0,0.0,0.05,0.0,0.2,Feb,2,6,1,3,Returning_Visitor,False,False
30,1.0,6.0,1.0,0.0,45.0,1582.75,0.043478261,0.050821255999999995,54.17976426,0.4,Feb,3,2,1,1,Returning_Visitor,False,False
31,0.0,0.0,0.0,0.0,2.0,35.0,0.0,0.1,0.0,0.0,Feb,1,1,6,3,Returning_Visitor,False,False
32,0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.066666667,0.0,0.0,Feb,1,2,6,6,Returning_Visitor,True,False
33,0.0,0.0,0.0,0.0,8.0,209.5,0.0,0.025,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
34,0.0,0.0,0.0,0.0,10.0,183.66666669999998,0.04,0.08,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,False,False
35,0.0,0.0,0.0,0.0,14.0,380.5,0.014285714,0.028571429,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
36,0.0,0.0,0.0,0.0,52.0,2086.242857,0.015384615,0.020352564,0.0,0.0,Feb,2,2,7,1,Returning_Visitor,False,False
37,0.0,0.0,0.0,0.0,8.0,388.0,0.025,0.05625,0.0,0.0,Feb,3,2,1,4,Returning_Visitor,True,False
38,2.0,18.0,0.0,0.0,5.0,298.0,0.0,0.028571429,0.0,0.8,Feb,2,2,8,4,Returning_Visitor,False,False
39,0.0,0.0,0.0,0.0,7.0,63.0,0.028571429,0.071428571,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False
40,0.0,0.0,0.0,0.0,9.0,482.0,0.0,0.022222222000000003,0.0,0.0,Feb,2,5,1,6,Returning_Visitor,False,False
41,1.0,9.0,0.0,0.0,46.0,4084.393939,0.0,0.001794872,0.0,0.0,Feb,2,2,8,4,Returning_Visitor,False,False
42,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.066666667,0.0,0.6,Feb,1,1,3,2,Returning_Visitor,False,False
43,0.0,0.0,0.0,0.0,15.0,310.1666667,0.0,0.006666666999999999,0.0,0.0,Feb,1,1,4,4,Returning_Visitor,False,False
44,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.05,0.0,0.4,Feb,3,2,2,3,Returning_Visitor,False,False
45,0.0,0.0,0.0,0.0,4.0,88.0,0.0,0.05,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False
46,0.0,0.0,0.0,0.0,22.0,622.25,0.003030303,0.006060606,0.0,0.2,Feb,2,5,1,4,Returning_Visitor,False,False
47,0.0,0.0,0.0,0.0,14.0,222.4,0.017142857,0.057142857000000005,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,False,False
48,0.0,0.0,0.0,0.0,3.0,80.0,0.066666667,0.133333333,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
49,0.0,0.0,0.0,0.0,11.0,800.8333332999999,0.0,0.0036363640000000004,0.0,0.0,Feb,3,2,1,3,Returning_Visitor,False,False
50,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.6,Feb,2,2,3,2,Returning_Visitor,False,False
51,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,True,False
52,0.0,0.0,0.0,0.0,12.0,265.1666667,0.011111111000000002,0.026111111,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
53,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.1,0.0,1.0,Feb,2,4,4,2,Returning_Visitor,True,False
54,0.0,0.0,0.0,0.0,4.0,160.0,0.0,0.075,0.0,0.0,Feb,4,2,2,3,Returning_Visitor,False,False
55,0.0,0.0,0.0,0.0,4.0,135.66666669999998,0.05,0.025,0.0,0.4,Feb,3,3,1,4,Returning_Visitor,False,False
56,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,Feb,2,4,1,3,Returning_Visitor,False,False
57,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,False,False
58,4.0,56.0,2.0,120.0,36.0,998.7416667000001,0.0,0.014736467,19.44707913,0.2,Feb,2,2,4,1,Returning_Visitor,False,False
59,0.0,0.0,0.0,0.0,4.0,104.0,0.0,0.05,0.0,0.4,Feb,2,6,6,3,Returning_Visitor,False,False
60,2.0,16.0,0.0,0.0,16.0,381.6865079,0.011764706000000002,0.046568627,0.0,0.6,Feb,2,4,2,1,Returning_Visitor,False,False
61,0.0,0.0,0.0,0.0,6.0,169.0,0.0,0.016666667,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,False,False
62,0.0,0.0,0.0,0.0,8.0,400.8,0.05,0.120833333,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
63,12.0,279.4166667,0.0,0.0,42.0,1553.583333,0.009000000000000001,0.019666667,38.30849268,0.0,Feb,1,1,3,2,Returning_Visitor,False,False
64,0.0,0.0,0.0,0.0,14.0,706.5,0.0,0.007142857,0.0,0.0,Feb,2,2,5,4,Returning_Visitor,True,False
65,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,2,2,4,3,Returning_Visitor,False,False
66,3.0,87.83333333,0.0,0.0,27.0,798.3333332999999,0.0,0.012643678,22.9160357,0.8,Feb,2,2,3,1,Returning_Visitor,False,True
67,4.0,44.0,0.0,0.0,90.0,6951.972222,0.002150538,0.015013034,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False
68,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,Feb,2,2,5,1,Returning_Visitor,False,False
69,0.0,0.0,0.0,0.0,18.0,902.0,0.0,0.0074074069999999995,0.0,0.0,Feb,2,7,2,4,Returning_Visitor,False,False
70,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,Feb,3,2,3,3,Returning_Visitor,False,False
71,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,2,6,1,2,Returning_Visitor,False,False
72,0.0,0.0,0.0,0.0,20.0,197.37777780000002,0.025,0.0525,0.0,0.0,Feb,2,6,6,1,Returning_Visitor,False,False
73,0.0,0.0,0.0,0.0,2.0,43.0,0.0,0.1,0.0,0.4,Feb,2,2,3,3,Returning_Visitor,False,False
74,0.0,0.0,0.0,0.0,8.0,426.66666669999995,0.0,0.0125,0.0,0.0,Feb,2,4,3,2,Returning_Visitor,False,False
75,0.0,0.0,0.0,0.0,3.0,135.0,0.0,0.066666667,0.0,0.0,Feb,2,4,3,3,Returning_Visitor,False,False
76,0.0,0.0,0.0,0.0,16.0,588.3333332999999,0.0,0.025,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,False,False
77,10.0,1005.666667,0.0,0.0,36.0,2111.341667,0.004347826,0.014492753999999998,11.43941195,0.0,Feb,2,6,1,2,Returning_Visitor,False,True
78,0.0,0.0,0.0,0.0,2.0,76.0,0.0,0.05,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,False,False
79,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,1.0,Feb,1,1,1,3,Returning_Visitor,True,False
80,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,Feb,1,1,1,3,Returning_Visitor,False,False
81,0.0,0.0,0.0,0.0,7.0,208.0,0.0,0.028571429,0.0,0.0,Feb,4,1,1,5,Returning_Visitor,True,False
82,0.0,0.0,0.0,0.0,4.0,270.0,0.0,0.016666667,0.0,0.8,Feb,1,1,1,3,Returning_Visitor,False,False
83,0.0,0.0,0.0,0.0,6.0,39.5,0.0,0.02,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
84,0.0,0.0,0.0,0.0,12.0,375.0,0.016666667,0.058333333,0.0,0.0,Feb,3,2,4,1,Returning_Visitor,False,False
85,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,Feb,2,2,2,1,Returning_Visitor,True,False
86,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
87,0.0,0.0,0.0,0.0,7.0,150.0,0.057142857000000005,0.085714286,0.0,0.0,Feb,2,2,2,1,Returning_Visitor,False,False
88,0.0,0.0,0.0,0.0,3.0,138.0,0.0,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
89,0.0,0.0,0.0,0.0,7.0,337.5,0.028571429,0.023809524,0.0,0.4,Feb,4,1,3,3,Returning_Visitor,False,False
90,0.0,0.0,0.0,0.0,19.0,620.0333333,0.0,0.007894736999999999,0.0,0.0,Feb,1,1,4,2,Returning_Visitor,False,False
91,2.0,36.0,0.0,0.0,15.0,168.84615380000002,0.0,0.011764706000000002,0.0,0.4,Feb,1,1,1,3,Returning_Visitor,False,False
92,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,True,False
93,0.0,0.0,0.0,0.0,2.0,52.0,0.0,0.1,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
94,0.0,0.0,0.0,0.0,13.0,649.25,0.0,0.015384615,0.0,0.0,Feb,2,2,1,5,New_Visitor,False,False
95,0.0,0.0,0.0,0.0,27.0,925.3333332999998,0.0037037040000000004,0.025925926000000002,0.0,0.6,Feb,4,1,3,3,Returning_Visitor,False,False
96,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.1,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,False,False
97,0.0,0.0,0.0,0.0,6.0,1566.5,0.05,0.066666667,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,False,False
98,0.0,0.0,0.0,0.0,4.0,105.0,0.0,0.025,0.0,0.6,Feb,1,1,1,4,Returning_Visitor,False,False
99,0.0,0.0,1.0,0.0,7.0,50.0,0.038095238,0.08095238099999999,0.0,0.6,Feb,2,4,1,7,Returning_Visitor,False,False
100,0.0,0.0,0.0,0.0,16.0,644.2,0.004166667,0.031666667,0.0,0.0,Feb,3,2,3,4,Returning_Visitor,False,False
101,3.0,18.33333333,0.0,0.0,38.0,2635.177778,0.0,0.008947368,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False
102,4.0,61.0,0.0,0.0,19.0,607.0,0.0,0.026984127000000004,17.53595893,1.0,Feb,1,1,7,4,Returning_Visitor,True,True
103,0.0,0.0,0.0,0.0,6.0,415.0,0.0,0.033333333,0.0,0.4,Feb,1,1,3,2,Returning_Visitor,False,False
104,2.0,31.0,1.0,16.0,36.0,2083.530952,0.0,0.01351025,0.0,0.8,Feb,2,2,4,3,Returning_Visitor,False,False
105,3.0,58.5,0.0,0.0,17.0,281.6666667,0.007058824,0.017647059,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,False,False
106,0.0,0.0,0.0,0.0,2.0,27.0,0.15,0.15,0.0,0.0,Feb,1,1,7,2,Returning_Visitor,False,False
107,0.0,0.0,1.0,0.0,9.0,215.0,0.04444444400000001,0.074074074,0.0,0.8,Feb,4,1,1,3,Returning_Visitor,False,False
108,0.0,0.0,0.0,0.0,12.0,162.0,0.05,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
109,0.0,0.0,0.0,0.0,2.0,114.0,0.05,0.066666667,0.0,0.8,Feb,3,3,1,3,Returning_Visitor,False,False
110,6.0,326.25,4.0,94.0,128.0,5062.213753,0.000854701,0.01791847,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False
111,0.0,0.0,0.0,0.0,4.0,253.0,0.0,0.016666667,0.0,0.6,Feb,2,2,3,3,Returning_Visitor,False,False
112,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.4,Feb,2,2,1,3,Returning_Visitor,False,False
113,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,Feb,1,1,2,3,Returning_Visitor,False,False
114,2.0,22.0,0.0,0.0,25.0,436.5,0.008,0.024,0.0,0.2,Feb,2,4,1,1,Returning_Visitor,False,False
115,0.0,0.0,1.0,93.0,30.0,1045.833333,0.012903226,0.035483871,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,False,False
116,0.0,0.0,0.0,0.0,12.0,317.8333333,0.0,0.005555556,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False
117,0.0,0.0,0.0,0.0,21.0,1146.333333,0.0,0.012962963000000001,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,False,False
118,0.0,0.0,0.0,0.0,11.0,577.0,0.018181818,0.027272727000000004,0.0,0.2,Feb,2,2,3,1,Returning_Visitor,False,False
119,0.0,0.0,0.0,0.0,8.0,95.0,0.0,0.075,0.0,0.0,Feb,4,1,3,3,Returning_Visitor,False,False
120,0.0,0.0,0.0,0.0,6.0,301.5,0.0,0.111111111,0.0,0.0,Feb,2,4,9,3,Returning_Visitor,False,False
121,0.0,0.0,0.0,0.0,6.0,243.0,0.0,0.033333333,0.0,0.0,Feb,2,4,4,1,Returning_Visitor,False,False
122,0.0,0.0,0.0,0.0,4.0,135.5,0.0,0.05,0.0,0.6,Feb,2,2,1,2,Returning_Visitor,False,False
123,0.0,0.0,2.0,75.0,14.0,442.33333330000005,0.0,0.034375,0.0,0.8,Feb,1,1,3,3,Returning_Visitor,False,False
124,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
125,0.0,0.0,0.0,0.0,11.0,292.9,0.027999999999999997,0.11952381,0.0,0.0,Feb,2,4,3,1,Returning_Visitor,False,False
126,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
127,0.0,0.0,0.0,0.0,9.0,1238.333333,0.0,0.040740741000000004,0.0,0.4,Feb,2,2,1,3,Returning_Visitor,False,False
128,0.0,0.0,0.0,0.0,10.0,225.4666667,0.0,0.05,0.0,0.4,Feb,1,1,8,3,Returning_Visitor,False,False
129,4.0,462.0,0.0,0.0,51.0,1873.2166670000001,0.0,0.00754717,0.0,0.6,Feb,2,2,9,3,Returning_Visitor,False,False
130,0.0,0.0,0.0,0.0,3.0,13.0,0.133333333,0.166666667,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,False,False
131,0.0,0.0,0.0,0.0,2.0,222.0,0.0,0.1,0.0,0.0,Feb,2,6,1,2,Returning_Visitor,True,False
132,2.0,20.0,0.0,0.0,16.0,214.83333330000002,0.0,0.022222222000000003,0.0,0.0,Feb,2,2,1,6,Returning_Visitor,False,False
133,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
134,0.0,0.0,0.0,0.0,6.0,2017.1666670000002,0.0,0.011111111000000002,0.0,0.8,Feb,2,2,4,3,Returning_Visitor,False,False
135,6.0,111.5,0.0,0.0,26.0,449.02777779999997,0.0,0.018518519,0.0,0.6,Feb,1,1,3,3,Returning_Visitor,False,False
136,0.0,0.0,0.0,0.0,6.0,158.16666669999998,0.0,0.033333333,0.0,0.0,Feb,3,2,4,2,Returning_Visitor,False,False
137,0.0,0.0,0.0,0.0,9.0,303.6666667,0.005555556,0.046296295999999994,0.0,0.0,Feb,2,4,5,2,Returning_Visitor,False,False
138,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.066666667,0.0,0.0,Feb,2,4,1,5,Returning_Visitor,False,False
139,0.0,0.0,0.0,0.0,2.0,42.0,0.05,0.15,0.0,0.4,Feb,2,2,1,4,Returning_Visitor,False,False
140,4.0,103.625,0.0,0.0,14.0,1003.416667,0.0,0.018039216,0.0,0.2,Feb,1,1,3,3,Returning_Visitor,False,False
141,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,2,2,7,3,Returning_Visitor,False,False
142,0.0,0.0,0.0,0.0,9.0,272.5,0.0,0.011851852,0.0,0.2,Feb,1,1,6,3,Returning_Visitor,False,False
143,3.0,19.0,0.0,0.0,8.0,344.0,0.0,0.0074074069999999995,0.0,0.0,Feb,2,4,2,3,Returning_Visitor,False,False
144,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,2,2,2,3,Returning_Visitor,False,False
145,0.0,0.0,1.0,19.0,10.0,852.0,0.0,0.009090909,0.0,0.0,Feb,2,2,3,6,Returning_Visitor,False,False
146,0.0,0.0,0.0,0.0,3.0,780.0,0.066666667,0.066666667,0.0,0.4,Feb,2,4,1,3,Returning_Visitor,False,False
147,0.0,0.0,0.0,0.0,3.0,1038.0,0.0,0.033333333,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
148,0.0,0.0,0.0,0.0,4.0,573.0,0.0,0.05,0.0,0.0,Feb,2,2,3,3,Returning_Visitor,False,False
149,0.0,0.0,0.0,0.0,28.0,1231.233333,0.007142857,0.030357143,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False
150,0.0,0.0,0.0,0.0,11.0,316.6666667,0.0,0.027272727000000004,0.0,0.8,Feb,2,2,2,1,Returning_Visitor,False,False
151,0.0,0.0,0.0,0.0,20.0,873.7365079,0.0075,0.028166667000000003,0.0,0.0,Feb,1,2,1,1,Returning_Visitor,False,False
152,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,Feb,2,2,3,4,Returning_Visitor,False,False
153,0.0,0.0,0.0,0.0,4.0,16.0,0.1,0.15,0.0,0.0,Feb,2,5,5,1,Returning_Visitor,False,False
154,0.0,0.0,0.0,0.0,19.0,615.0,0.0,0.026315789,0.0,0.2,Feb,2,2,3,3,Returning_Visitor,False,False
155,0.0,0.0,0.0,0.0,9.0,261.75,0.0,0.026666667,0.0,0.0,Feb,2,6,1,1,Returning_Visitor,False,False
156,0.0,0.0,0.0,0.0,21.0,615.8831169,0.033333333,0.04993081,0.0,0.0,Feb,3,2,2,1,Returning_Visitor,True,False
157,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,3,3,3,2,Returning_Visitor,True,False
158,0.0,0.0,0.0,0.0,6.0,117.5,0.0,0.033333333,0.0,0.8,Feb,1,1,1,3,Returning_Visitor,True,False
159,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
160,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
161,0.0,0.0,0.0,0.0,23.0,501.66666669999995,0.008695652,0.01884058,0.0,0.6,Feb,1,1,4,2,Returning_Visitor,False,False
162,2.0,58.0,2.0,22.0,31.0,829.1666667000001,0.03030303,0.040606061,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,True,False
163,1.0,9.5,0.0,0.0,23.0,1223.0,0.015217391,0.012463768,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,True,False
164,0.0,0.0,0.0,0.0,6.0,467.0,0.0,0.016666667,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,False,False
165,0.0,0.0,0.0,0.0,23.0,737.1666667000001,0.008695652,0.011594203,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False
166,0.0,0.0,0.0,0.0,12.0,129.0,0.0,0.033333333,0.0,0.0,Feb,1,1,3,2,Returning_Visitor,False,False
167,0.0,0.0,0.0,0.0,5.0,63.0,0.0,0.04,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
168,0.0,0.0,0.0,0.0,5.0,125.0,0.08666666699999999,0.166666667,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
169,0.0,0.0,0.0,0.0,11.0,684.3333332999999,0.018181818,0.063636364,0.0,0.0,Feb,2,4,6,1,Returning_Visitor,False,False
170,0.0,0.0,0.0,0.0,20.0,665.4722222,0.0,0.0145,0.0,0.8,Feb,3,2,7,4,Returning_Visitor,True,False
171,1.0,0.0,0.0,0.0,15.0,487.5,0.0,0.019166667,0.0,0.8,Feb,1,1,2,4,Returning_Visitor,True,False
172,0.0,0.0,0.0,0.0,17.0,437.16666669999995,0.011111111000000002,0.033333333,0.0,0.0,Feb,2,4,1,3,Returning_Visitor,False,False
173,0.0,0.0,0.0,0.0,3.0,55.0,0.066666667,0.1,0.0,0.6,Feb,1,1,1,3,Returning_Visitor,False,False
174,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,Feb,1,1,1,2,Returning_Visitor,True,False
175,5.0,41.3,0.0,0.0,24.0,446.9277778,0.0,0.008602151,0.0,1.0,Feb,2,2,8,1,Returning_Visitor,True,False
176,3.0,87.0,0.0,0.0,10.0,320.5,0.0,0.015384615,0.0,0.0,Feb,1,1,2,3,Returning_Visitor,False,False
177,0.0,0.0,0.0,0.0,7.0,666.0,0.0,0.014285714,0.0,0.0,Feb,1,1,6,2,Returning_Visitor,False,False
178,1.0,0.0,0.0,0.0,21.0,405.7095238,0.010743802,0.047002635,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,False,False
179,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
180,0.0,0.0,0.0,0.0,6.0,163.25,0.033333333,0.033333333,0.0,0.6,Feb,1,1,6,2,Returning_Visitor,False,False
181,0.0,0.0,0.0,0.0,17.0,284.25,0.0,0.011764706000000002,0.0,0.0,Feb,3,2,6,2,Returning_Visitor,True,False
182,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.6,Feb,4,2,1,3,Returning_Visitor,False,False
183,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,False,False
184,0.0,0.0,0.0,0.0,8.0,260.0,0.008333333,0.025,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,True,False
185,0.0,0.0,16.0,1210.3976189999998,5.0,279.85714289999993,0.003174603,0.012764201999999999,0.0,0.0,Mar,2,2,1,8,Returning_Visitor,False,False
186,0.0,0.0,0.0,0.0,20.0,927.45,0.011111111000000002,0.027248677000000002,8.000740741,0.0,Mar,1,1,3,1,Returning_Visitor,False,False
187,2.0,9.0,0.0,0.0,50.0,836.8,0.0,0.006339869000000001,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
188,10.0,293.77820510000004,2.0,153.0,96.0,3283.1667390000002,0.001960784,0.013509413999999999,0.0,0.0,Mar,3,2,6,2,Returning_Visitor,True,False
189,9.0,111.5,1.0,48.5,49.0,1868.819697,0.0,0.020708874,1.706014966,0.0,Mar,2,2,7,2,Returning_Visitor,False,True
190,3.0,47.0,1.0,51.0,68.0,3008.124108,0.007142857,0.016727891,46.53017511,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
191,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
192,3.0,1226.0,5.0,3.0,24.0,3230.25,0.036190476,0.096,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
193,3.0,52.0,0.0,0.0,9.0,319.0,0.0,0.02,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,False
194,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.066666667,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
195,0.0,0.0,0.0,0.0,22.0,354.3333333,0.009090909,0.057662338,0.0,0.0,Mar,1,1,7,2,Returning_Visitor,True,False
